Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Latitude,Longitude ,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality
50871,Sub-Saharan Africa,"January 30, 2018",2018,Jan,1,0,1,0,0,1,0,Shot or stabbed,"Near Negele, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),5.321172,39.569408,Unknown,http://www.mixedmigration.org/4mi/,Eastern Africa,2
44365,Europe,"January 29, 2018",2018,Jan,1,0,1,0,0,1,0,Vehicle Accident,"E40 motorway, near Jabbeke, Belgium","Franceinfo, Sudinfo, 7sur7",51.19320789,3.081177321,Unknown,"http://bit.ly/2DRvsx2, http://bit.ly/2nlBSdI, http://bit.ly/2BDOotr",Western Europe,3
50869,Sub-Saharan Africa,"January 29, 2018",2018,Jan,1,0,1,0,1,0,0,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter",Unspecified location in the Indian Ocean,Mixed Migration Monitoring Mechanism Initiative (4mi),-4.883087,39.513936,Unknown,http://www.mixedmigration.org/4mi/,Eastern Africa,2
44364,Mediterranean,"January 28, 2018",2018,Jan,1,0,1,0,1,0,0,Unknown,"University Hospital Habib Bourguiba in Sfax, Tunisia, after being evacuated from Sos Méditerranée's Aquarius ship","Agence Tunis Afrique Presse, Mosaique FM, La Reppublica, IOM Tunisia",34.7402677,10.7482127,Central Mediterranean,"http://bit.ly/2EncKL1, http://bit.ly/2nnHDra, http://bit.ly/2BDQycD",Uncategorized,3
44826,Europe,"January 28, 2018",2018,Jan,1,0,1,0,0,1,0,Exposure,"Evros River, near Kastanies, Greece","UNHCR, Thrakinea",41.65882638,26.48618388,Unknown,"https://bit.ly/2KQ4qFq, https://bit.ly/2HvAcqv",Southern Europe,4
50864,North Africa,"January 28, 2018",2018,Jan,2,0,2,0,0,2,0,"Sickness and lack of access to medicines, Starvation, Dehydration","Rabyanah Oasis, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),24.174946,22.684659,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50865,North Africa,"January 28, 2018",2018,Jan,2,0,2,0,2,0,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Suffocation","Sahara desert near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),18.07428,34.434549,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50866,Sub-Saharan Africa,"January 28, 2018",2018,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Nairobi, Kenya",Mixed Migration Monitoring Mechanism Initiative (4mi),-1.405445,36.862977,Unknown,http://www.mixedmigration.org/4mi/,Eastern Africa,2
50867,Sub-Saharan Africa,"January 28, 2018",2018,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),12.669425,-7.909603,Unknown,http://www.mixedmigration.org/4mi/,Western Africa,2
50868,Sub-Saharan Africa,"January 28, 2018",2018,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),12.669425,-7.909603,Unknown,http://www.mixedmigration.org/4mi/,Western Africa,2
44363,Central America,"January 27, 2018",2018,Jan,1,0,1,0,0,1,0,Murdered,"Highway 150 between Orizaba and Tehuacán, near Acultzingo, Veracruz, Mexico",El Mundo de Orizaba,18.71581888,-97.32304376,Central America to US,http://bit.ly/2DUbIJc,Central America,1
50863,North Africa,"January 27, 2018",2018,Jan,4,0,4,0,2,1,1,"Sickness and lack of access to medicines, Vehicle Accident","Sahara desert near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),18.07428,34.434548,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
44116,Mediterranean,"January 27, 2018",2018,Jan,2,32,34,96,2,0,3,Drowning,Unspecified location between North Africa and Italy,"SOS Méditerranée, IOM Italy",34.75092189,13.53515625,Central Mediterranean,http://bit.ly/2DVF9dk,Uncategorized,2
44113,Mediterranean,"January 26, 2018",2018,Jan,2,0,2,0,1,1,0,Drowning,"Unspecified location off the coast of Mostaganem and Abdelmalek Ramdan, Algeria",IOM Algeria,36.2807903,0.094711586,Western Mediterranean,Not Available,Uncategorized,4
44114,US-Mexico Border,"January 26, 2018",2018,Jan,1,0,1,0,0,1,0,Drowning,"Off the coast of Tijuana, Mexico, near border with the United States","El Debate, Uniradio Informa",32.53347346,-117.1246786,Central America to US,"http://bit.ly/2FpwGMq, http://bit.ly/2GqXUnh",Central America,3
44418,Southeast Asia,"January 26, 2018",2018,Jan,1,0,1,0,0,0,0,Shot,"Border fence in Maungni village, Maungtaw Town, Myanmar",Myanmar Ministry of Information,20.82029642,92.35219959,Unknown,http://bit.ly/2Hjetlv,Southern Asia,5
49260,US-Mexico Border,"January 26, 2018",2018,Jan,1,0,1,0,0,1,1,Unknown,"Ranch near Marfa, Presidio County, Texas, USA",Presidio County Sheriff's Office,30.22528705,-104.129113,Unknown,Not Available,Northern America,5
50861,North Africa,"January 26, 2018",2018,Jan,3,0,3,0,2,1,1,Vehicle Accident,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),19.635357,27.103536,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50862,North Africa,"January 26, 2018",2018,Jan,1,0,1,0,1,0,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter","Sahara desert, Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),20.610678,27.916851,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50859,Horn of Africa,"January 25, 2018",2018,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Near Dhobley, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),2.5,42.329444,Unknown,http://www.mixedmigration.org/4mi/,Eastern Africa,2
50860,North Africa,"January 25, 2018",2018,Jan,2,0,2,0,2,0,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter","Sahara desert, Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),20.610678,27.916851,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
44115,Central America,"January 25, 2018",2018,Jan,1,0,1,33,0,1,0,Vehicle Accident,"Highway in Río Hondo, Zacapa, Guatemala",Guatemalan General Directorate of Migration via IOM Guatemala,15.04029859,-89.58861351,Central America to US,"http://bit.ly/2nbLkQJ, http://bit.ly/2FsrIi9, http://bit.ly/2GDau2U",Central America,5
44112,Central America,"January 24, 2018",2018,Jan,1,0,1,0,0,1,0,Hit by train,"Train tracks near Ciudad Guzmán, Jalisco, Mexico",Informativo del Sur de Jalisco,19.7050171,-103.4685183,Central America to US,http://bit.ly/2GcdQJT,Central America,1
